state,county,county_fips
Virginia,Henrico,51087
Maryland,Howard,24027
Colorado,Weld,08123
South Carolina,Spartanburg,45083
Colorado,Boulder,08013
Connecticut,Greater Bridgeport,09120
Pennsylvania,Luzerne,42079
North Carolina,Durham,37063
Nebraska,Lancaster,31109
Florida,Escambia,12033
Kentucky,Fayette,21067
New Hampshire,Rockingham,33015
New York,Albany,36001
Pennsylvania,Northampton,42095
Ohio,Lorain,39093
Texas,Lubbock,48303
Illinois,McHenry,17111
Maine,Cumberland,23005
New Jersey,Gloucester,34015
Missouri,Greene,29077
Missouri,St. Louis,29510
New York,Dutchess,36027
Georgia,Clayton,13063
Georgia,Chatham,13051
Michigan,Ottawa,26139
South Carolina,Lexington,45063
Oklahoma,Cleveland,40027
Washington,Thurston,53067
Florida,Leon,12073
Alaska,Anchorage,02020
Arkansas,Benton,05007
Pennsylvania,Dauphin,42043
Illinois,Winnebago,17201
South Carolina,York,45091
Michigan,Ingham,26065
California,Merced,06047
California,San Luis Obispo,06079
Connecticut,Southeastern Connecticut,09180
Florida,Alachua,12001
Florida,St. Johns,12109
Washington,Kitsap,53035
New Jersey,Atlantic,34001
Maryland,Frederick,24021
Indiana,St. Joseph,18141
Pennsylvania,Erie,42049
North Carolina,Buncombe,37021
Minnesota,Washington,27163
California,Santa Cruz,06087
Georgia,Cherokee,13057
Wisconsin,Brown,55009
Texas,Webb,48479
Louisiana,St. Tammany,22103
Illinois,Madison,17119
Utah,Weber,49057
Michigan,Kalamazoo,26077
Pennsylvania,Cumberland,42041
Texas,McLennan,48309
Maryland,Harford,24025
California,Marin,06041
Illinois,St. Clair,17163
Washington,Yakima,53077
Texas,Jefferson,48245
Georgia,Forsyth,13117
Missouri,Clay,29047
Virginia,Chesapeake,51550
Tennessee,Williamson,47187
Arkansas,Washington,05143
Texas,Hays,48209
Ohio,Warren,39165
Louisiana,Lafayette,22055
Georgia,Henry,13151
Delaware,Sussex,10005
North Carolina,Union,37179
Arizona,Yavapai,04025
Virginia,Norfolk,51710
New York,Saratoga,36091
Louisiana,Caddo,22017
Virginia,Arlington,51013
Idaho,Canyon,16027
Texas,Smith,48423
Texas,Brazos,48041
Alabama,Baldwin,01003
Ohio,Lake,39085
Alabama,Tuscaloosa,01125
South Carolina,Berkeley,45015
New York,Oneida,36065
Massachusetts,Barnstable,25001
Iowa,Linn,19113
North Carolina,Gaston,37071
North Carolina,New Hanover,37129
Alabama,Montgomery,01101
Ohio,Mahoning,39099
Virginia,Richmond,51760
Missouri,Jefferson,29099
Mississippi,Hinds,28049
Washington,Whatcom,53073
North Carolina,Cabarrus,37025
Alabama,Shelby,01117
Oregon,Jackson,41029
Tennessee,Montgomery,47125
New Mexico,Doña Ana,35013
Florida,Clay,12019
North Carolina,Johnston,37101
California,Yolo,06113
Ohio,Delaware,39041
Pennsylvania,Lackawanna,42069
Arizona,Mohave,04015
California,Butte,06007
Maine,York,23031
New York,Niagara,36063
Florida,Okaloosa,12091
Louisiana,Calcasieu,22019
Pennsylvania,Washington,42125
Ohio,Clermont,39025
Mississippi,Harrison,28047
Washington,Benton,53005
Indiana,Elkhart,18039
Illinois,Champaign,17019
Georgia,Richmond,13245
Georgia,Hall,13139
South Carolina,Anderson,45007
Georgia,Muscogee,13215
Arizona,Yuma,04027
North Carolina,Onslow,37133
Hawaii,Hawaii,15001
Ohio,Trumbull,39155
Minnesota,St. Louis,27137
Oregon,Deschutes,41017
New York,Broome,36007
South Dakota,Minnehaha,46099
Wisconsin,Racine,55101
Tennessee,Sumner,47165
Florida,Hernando,12053
Illinois,Sangamon,17167
Texas,Ellis,48139
Pennsylvania,Butler,42019
Michigan,Livingston,26093
California,El Dorado,06017
Nebraska,Sarpy,31153
Wisconsin,Outagamie,55087
Florida,Charlotte,12015
Michigan,Saginaw,26145
South Carolina,Beaufort,45013
Florida,Santa Rosa,12113
North Carolina,Iredell,37097
Indiana,Tippecanoe,18157
North Dakota,Cass,38017
Mississippi,DeSoto,28033
Virginia,Newport News,51700
Missouri,Boone,29019
Utah,Washington,49053
Texas,Johnson,48251
Delaware,Kent,10001
Ohio,Medina,39103
New York,Ulster,36111
California,Shasta,06089
Illinois,Peoria,17143
Florida,Bay,12005
Indiana,Vanderburgh,18163
West Virginia,Kanawha,54039
California,Imperial,06025
Ohio,Licking,39089
Kansas,Shawnee,20177
Michigan,Muskegon,26121
Indiana,Hendricks,18063
Connecticut,Lower Connecticut River Valley,09130
Alabama,Lee,01081
Iowa,Scott,19163
Texas,Guadalupe,48187
Idaho,Kootenai,16055
Indiana,Porter,18127
Maryland,Carroll,24013
North Carolina,Alamance,37001
Illinois,McLean,17113
Wisconsin,Winnebago,55139
North Carolina,Pitt,37147
Rhode Island,Kent,44003
Georgia,Paulding,13223
South Carolina,Aiken,45003
North Carolina,Davidson,37057
Texas,Midland,48329
Kentucky,Kenton,21117
Wisconsin,Kenosha,55059
Vermont,Chittenden,50007
Colorado,Pueblo,08101
Pennsylvania,Monroe,42089
Kansas,Wyandotte,20209
Pennsylvania,Beaver,42007
Ohio,Greene,39057
Maryland,Charles,24017
Montana,Yellowstone,30111
Texas,Comal,48091
Hawaii,Maui,15009
Georgia,Houston,13153
Wisconsin,Rock,55105
Minnesota,Olmsted,27109
Texas,Ector,48135
South Carolina,Dorchester,45035
Indiana,Johnson,18081
Ohio,Portage,39133
North Carolina,Catawba,37035
Florida,Indian River,12061
New York,Rensselaer,36083
Michigan,Jackson,26075
Michigan,St. Clair,26147
Louisiana,Ouachita,22073
New York,Schenectady,36093
Florida,Martin,12085
Ohio,Fairfield,39045
Tennessee,Sullivan,47163
Pennsylvania,Centre,42027
Minnesota,Stearns,27145
Virginia,Stafford,51179
Virginia,Alexandria,51510
California,Madera,06039
Mississippi,Rankin,28121
Georgia,Columbia,13073
Oklahoma,Canadian,40017
Georgia,Bibb,13021
Colorado,Mesa,08077
Pennsylvania,Franklin,42055
Florida,Citrus,12017
Michigan,Monroe,26115
Maryland,Washington,24043
New Mexico,Santa Fe,35049
Michigan,Berrien,26021
Massachusetts,Hampshire,25015
New Hampshire,Merrimack,33013
New Jersey,Cumberland,34011
Iowa,Johnson,19103
Maine,Penobscot,23019
California,Kings,06031
Minnesota,Scott,27139
Texas,Parker,48367
Texas,Kaufman,48257
New Mexico,Sandoval,35043
Tennessee,Wilson,47189
Georgia,Coweta,13077
North Carolina,Rowan,37159
North Carolina,Orange,37135
New Jersey,Sussex,34037
Georgia,Douglas,13097
Arizona,Coconino,04005
North Carolina,Randolph,37151
Illinois,Rock Island,17161
Mississippi,Jackson,28059
Louisiana,Livingston,22063
Pennsylvania,Lebanon,42075
Pennsylvania,Schuylkill,42107
Texas,Taylor,48441
Minnesota,Wright,27171
Texas,Randall,48381
Virginia,Spotsylvania,51177
Indiana,Monroe,18105
North Carolina,Brunswick,37019
Wisconsin,Marathon,55073
California,Napa,06055
Virginia,Hampton,51650
South Carolina,Florence,45041
Texas,Grayson,48181
Wisconsin,Washington,55131
Kentucky,Boone,21015
California,Humboldt,06023
Tennessee,Blount,47009
Ohio,Clark,39023
Kentucky,Warren,21227
North Carolina,Harnett,37085
Utah,Cache,49005
Michigan,Calhoun,26025
Louisiana,Tangipahoa,22105
Tennessee,Washington,47179
Pennsylvania,Cambria,42021
Illinois,Kendall,17093
Florida,Sumter,12119
Ohio,Wood,39173
Illinois,Tazewell,17179
South Carolina,Pickens,45077
Iowa,Black Hawk,19013
New Hampshire,Strafford,33017
Indiana,Madison,18095
Rhode Island,Washington,44009
Texas,Wichita,48485
Louisiana,Rapides,22079
Washington,Skagit,53057
New Jersey,Hunterdon,34019
Louisiana,Bossier,22015
Georgia,Clarke,13059
Massachusetts,Berkshire,25003
Oregon,Linn,41043
Pennsylvania,Fayette,42051
Arkansas,Sebastian,05131
New York,Chautauqua,36013
Louisiana,Ascension,22005
Arizona,Cochise,04003
Ohio,Richland,39139
Arkansas,Faulkner,05045
Idaho,Bonneville,16019
Texas,Gregg,48183
Maine,Kennebec,23011
Arkansas,Saline,05125
West Virginia,Berkeley,54003
Alabama,Morgan,01103
Missouri,Jasper,29097
Pennsylvania,Blair,42013
New Mexico,San Juan,35045
Oklahoma,Comanche,40031
Indiana,Clark,18019
Wisconsin,La Crosse,55063
Michigan,Allegan,26005
Georgia,Carroll,13045
Montana,Gallatin,30031
Texas,Tom Green,48451
Georgia,Fayette,13113
Kansas,Douglas,20045
Montana,Missoula,30063
Georgia,Lowndes,13185
New York,Oswego,36075
Texas,Potter,48375
Wisconsin,Sheboygan,55117
North Carolina,Robeson,37155
Florida,Flagler,12035
North Carolina,Wayne,37191
New York,Jefferson,36045
Ohio,Wayne,39169
North Carolina,Henderson,37089
Alabama,Calhoun,01015
Pennsylvania,Lycoming,42081
Maryland,St. Mary's,24037
Georgia,Newton,13217
Connecticut,Northwest Hills,09160
Virginia,Albemarle,51003
New York,Ontario,36069
Indiana,LaPorte,18091
Indiana,Delaware,18035
Maine,Androscoggin,23001
Oregon,Douglas,41019
Arkansas,Craighead,05031
Kentucky,Hardin,21093
Texas,Rockwall,48397
Washington,Cowlitz,53015
Pennsylvania,Mercer,42085
Virginia,Hanover,51085
South Dakota,Pennington,46103
New Jersey,Warren,34041
Illinois,LaSalle,17099
Georgia,Bartow,13015
Mississippi,Madison,28089
Michigan,Eaton,26045
Louisiana,Terrebonne,22109
Tennessee,Bradley,47011
Ohio,Miami,39109
New York,St. Lawrence,36089
Alaska,Matanuska-Susitna,02170
Missouri,Cass,29037
Oregon,Yamhill,41071
Illinois,Kankakee,17091
Minnesota,Carver,27019
Arizona,Navajo,04017
Alabama,Houston,01069
Missouri,Platte,29165
Indiana,Vigo,18167
West Virginia,Monongalia,54061
Montana,Flathead,30029
Wisconsin,Eau Claire,55035
Iowa,Woodbury,19193
South Carolina,Sumter,45085
Wisconsin,Walworth,55127
Missouri,Franklin,29071
Pennsylvania,Adams,42001
Alabama,Limestone,01083
Wisconsin,Fond du Lac,55039
Maryland,Cecil,24015
Maryland,Wicomico,24045
Michigan,Bay,26017
Illinois,Macon,17115
Alabama,Etowah,01055
Georgia,Whitfield,13313
Kentucky,Daviess,21059
New York,Tompkins,36109
Florida,Highlands,12055
California,Nevada,06057
Ohio,Allen,39003
Tennessee,Maury,47119
Ohio,Columbiana,39029
Texas,Hunt,48231
North Carolina,Craven,37049
North Carolina,Moore,37125
Illinois,DeKalb,17037
Iowa,Dallas,19049
Wyoming,Laramie,56021
Arkansas,Garland,05051
North Carolina,Cleveland,37045
Virginia,Montgomery,51121
Michigan,Lenawee,26091
Virginia,Roanoke,51770
Washington,Grant,53025
California,Sutter,06101
Iowa,Dubuque,19061
Tennessee,Madison,47113
Iowa,Story,19169
Georgia,Floyd,13115
Tennessee,Sevier,47155
North Dakota,Burleigh,38015
Texas,Bastrop,48021
New York,Putnam,36079
Alabama,Marshall,01095
Minnesota,Sherburne,27141
Georgia,Walton,13297
Ohio,Ashtabula,39007
South Carolina,Lancaster,45057
Virginia,Portsmouth,51740
Louisiana,Lafourche,22057
Washington,Franklin,53021
Virginia,Roanoke,51161
Alaska,Fairbanks North Star,02090
Oklahoma,Rogers,40131
Connecticut,Northeastern Connecticut,09150
Oregon,Benton,41003
New Jersey,Cape May,34009
Ohio,Geauga,39055
Michigan,Grand Traverse,26055
North Carolina,Nash,37127
Virginia,Suffolk,51800
Alabama,Lauderdale,01077
West Virginia,Cabell,54011
Wisconsin,St. Croix,55109
Georgia,Rockdale,13247
New York,Steuben,36101
Iowa,Pottawattamie,19155
Texas,Liberty,48291
Maryland,Calvert,24009
Kentucky,Campbell,21037
Kentucky,Madison,21151
Ohio,Tuscarawas,39157
Texas,Bowie,48037
Virginia,Frederick,51069
Wisconsin,Ozaukee,55089
Alabama,St. Clair,01115
Florida,Nassau,12089
Pennsylvania,Northumberland,42097
New York,Wayne,36117
Texas,Victoria,48469
North Carolina,Rockingham,37157
California,Mendocino,06045
New Hampshire,Grafton,33009
Idaho,Twin Falls,16083
Missouri,Christian,29043
Wisconsin,Dodge,55027
Michigan,Lapeer,26087
Alabama,Cullman,01043
Oregon,Josephine,41033
North Carolina,Lincoln,37109
North Carolina,Burke,37023
Alabama,Elmore,01051
Oregon,Polk,41053
Idaho,Bannock,16005
Texas,Angelina,48005
Washington,Island,53029
Ohio,Muskingum,39119
Wisconsin,Jefferson,55055
Pennsylvania,Lawrence,42073
Rhode Island,Newport,44005
Georgia,Dougherty,13095
Texas,Orange,48361
Georgia,Glynn,13127
Missouri,Buchanan,29021
Montana,Cascade,30013
Georgia,Barrow,13013
West Virginia,Wood,54107
South Carolina,Orangeburg,45075
Virginia,Rockingham,51165
Pennsylvania,Crawford,42039
New York,Chemung,36015
Michigan,Midland,26111
Indiana,Howard,18067
Pennsylvania,Indiana,42063
Mississippi,Lee,28081
Texas,Coryell,48099
Washington,Lewis,53041
Texas,Henderson,48213
Louisiana,St. Landry,22097
Kentucky,Bullitt,21029
Indiana,Bartholomew,18005
Oklahoma,Wagoner,40145
Oklahoma,Payne,40119
Kansas,Leavenworth,20103
Florida,Monroe,12087
California,Yuba,06115
Missouri,Cape Girardeau,29031
Wisconsin,Manitowoc,55071
Alabama,Talladega,01121
North Carolina,Caldwell,37027
Indiana,Kosciusko,18085
Indiana,Floyd,18043
Indiana,Hancock,18059
Tennessee,Putnam,47141
Oregon,Umatilla,41059
New York,Clinton,36019
Georgia,Bulloch,13031
Virginia,Bedford,51019
Pennsylvania,Clearfield,42033
Wyoming,Natrona,56025
Michigan,Clinton,26037
Virginia,Lynchburg,51680
Washington,Chelan,53007
Virginia,James City,51095
South Carolina,Oconee,45073
New York,Sullivan,36105
North Carolina,Wilson,37195
Mississippi,Forrest,28035
Virginia,Augusta,51015
Tennessee,Anderson,47001
Washington,Clallam,53009
Texas,Walker,48471
Arkansas,White,05145
Georgia,Jackson,13157
New York,Cattaraugus,36009
Ohio,Ross,39141
Missouri,Cole,29051
North Carolina,Chatham,37037
Florida,Walton,12131
New Mexico,Valencia,35061
New Hampshire,Cheshire,33005
New York,Cayuga,36011
Washington,Grays Harbor,53027
Michigan,Van Buren,26159
Ohio,Erie,39043
Ohio,Hancock,39063
West Virginia,Raleigh,54081
Arkansas,Lonoke,05085
Wisconsin,Wood,55141
Illinois,Vermilion,17183
Utah,Tooele,49045
Colorado,Broomfield,08014
Pennsylvania,Somerset,42111
Ohio,Scioto,39145
Florida,Putnam,12107
Hawaii,Kauai,15007
Tennessee,Robertson,47147
Virginia,Fauquier,51061
New Mexico,Lea,35025
North Dakota,Grand Forks,38035
Kentucky,Christian,21047
Mississippi,Lauderdale,28075
Oklahoma,Pottawatomie,40125
Kansas,Riley,20161
Oklahoma,Creek,40037
New Mexico,McKinley,35031
Indiana,Morgan,18109
Alabama,DeKalb,01049
Montana,Lewis and Clark,30049
North Carolina,Surry,37171
Indiana,Boone,18011
Massachusetts,Franklin,25011
Tennessee,Greene,47059
Wisconsin,Portage,55097
Virginia,York,51199
Texas,Wise,48497
Louisiana,Iberia,22045
Florida,Columbia,12023
North Carolina,Franklin,37069
North Dakota,Ward,38101
Georgia,Troup,13285
Oregon,Klamath,41035
South Carolina,Greenwood,45047
Texas,Harrison,48203
Minnesota,Blue Earth,27013
Texas,San Patricio,48409
North Carolina,Carteret,37031
Maryland,Allegany,24001
Michigan,Shiawassee,26155
Georgia,Walker,13295
Georgia,Catoosa,13047
California,Lake,06033
New York,Madison,36053
Kentucky,Oldham,21185
New Mexico,Otero,35035
Kansas,Butler,20015
Kentucky,McCracken,21145
South Carolina,Laurens,45059
Georgia,Spalding,13255
Maine,Aroostook,23003
Minnesota,Rice,27131
Mississippi,Jones,28067
Illinois,Williamson,17199
Arkansas,Jefferson,05069
Michigan,Montcalm,26117
Missouri,St. Francois,29187
Michigan,Ionia,26067
Oklahoma,Muskogee,40101
Indiana,Grant,18053
Minnesota,Crow Wing,27035
Ohio,Belmont,39013
Indiana,Wayne,18177
Michigan,Marquette,26103
Wisconsin,Chippewa,55017
North Carolina,Wilkes,37193
Arizona,Apache,04001
Washington,Mason,53045
West Virginia,Harrison,54033
South Dakota,Lincoln,46083
South Carolina,Kershaw,45055
Texas,Starr,48427
New York,Warren,36113
Wisconsin,Sauk,55111
Illinois,Adams,17001
Georgia,Liberty,13179
Pennsylvania,Armstrong,42005
California,Tehama,06103
Ohio,Marion,39101
Georgia,Effingham,13103
Minnesota,Clay,27027
Ohio,Jefferson,39081
Kentucky,Pulaski,21199
Pennsylvania,Carbon,42025
Alabama,Walker,01127
Michigan,Isabella,26073
Pennsylvania,Columbia,42037
Oregon,Coos,41011
New Jersey,Salem,34033
Texas,Nacogdoches,48347
California,San Benito,06069
New Mexico,Chaves,35005
North Carolina,Rutherford,37161
Tennessee,Hamblen,47063
Mississippi,Lamar,28073
Indiana,Warrick,18173
New Hampshire,Belknap,33001
South Carolina,Georgetown,45043
North Carolina,Lee,37105
Arkansas,Pope,05115
Ohio,Union,39159
South Carolina,Darlington,45031
North Carolina,Stanly,37167
Ohio,Knox,39083
Michigan,Barry,26015
Nebraska,Hall,31079
Texas,Hood,48221
Oklahoma,Garfield,40047
Kentucky,Laurel,21125
North Carolina,Haywood,37087
Washington,Walla Walla,53071
New York,Livingston,36051
Kansas,Reno,20155
Colorado,Garfield,08045
North Carolina,Pender,37141
Tennessee,Cumberland,47035
New York,Columbia,36021
New York,Washington,36115
Ohio,Athens,39009
New Mexico,Eddy,35015
North Carolina,Granville,37077
Tennessee,Tipton,47167
Michigan,St. Joseph,26149
Arkansas,Crawford,05033
Vermont,Rutland,50021
Virginia,Pittsylvania,51143
New York,Herkimer,36043
Missouri,Lincoln,29113
Pennsylvania,Bradford,42015
Minnesota,Otter Tail,27111
Texas,Van Zandt,48467
Vermont,Washington,50023
New York,Otsego,36077
Ohio,Washington,39167
West Virginia,Mercer,54055
Nevada,Lyon,32019
North Carolina,Sampson,37163
Alaska,Kenai Peninsula,02122
Alabama,Blount,01009
Missouri,Newton,29145
Pennsylvania,Pike,42103
Ohio,Sandusky,39143
Alabama,Russell,01113
Ohio,Pickaway,39129
Alabama,Autauga,01001
Mississippi,Lowndes,28087
Ohio,Huron,39077
Utah,Box Elder,49003
Maine,Oxford,23017
Wisconsin,Columbia,55021
Nevada,Carson City,32510
New York,Genesee,36037
Kentucky,Pike,21195
Tennessee,Coffee,47031
Texas,Anderson,48001
Utah,Iron,49021
West Virginia,Jefferson,54037
Ohio,Lawrence,39087
Vermont,Windsor,50027
Texas,Maverick,48323
Georgia,Gordon,13129
Louisiana,Acadia,22001
Texas,Waller,48473
West Virginia,Putnam,54079
Kentucky,Scott,21209
Alabama,Colbert,01033
Louisiana,Vermilion,22113
Tennessee,Hawkins,47073
Minnesota,Chisago,27025
Texas,Hardin,48199
Mississippi,Pearl River,28109
Tennessee,Carter,47019
Missouri,Taney,29213
South Carolina,Cherokee,45021
West Virginia,Marion,54049
Mississippi,Lafayette,28071
Colorado,La Plata,08067
Maine,Hancock,23009
Colorado,Eagle,08037
Illinois,Whiteside,17195
Virginia,Campbell,51031
Tennessee,Loudon,47105
Oklahoma,Grady,40051
Georgia,Camden,13039
North Carolina,Lenoir,37107
Ohio,Seneca,39147
Tennessee,Jefferson,47089
California,Tuolumne,06109
Virginia,Franklin,51067
Tennessee,Dickson,47043
North Carolina,Watauga,37189
Kansas,Saline,20169
Missouri,Johnson,29101
Virginia,Washington,51191
Tennessee,Roane,47145
Missouri,Pulaski,29169
Nevada,Elko,32007
Alabama,Coffee,01031
Tennessee,McMinn,47107
Illinois,Boone,17007
Arizona,Gila,04007
Kentucky,Jessamine,21113
New York,Fulton,36035
Michigan,Tuscola,26157
Illinois,Jackson,17077
Oregon,Columbia,41009
Texas,Navarro,48349
Maryland,Worcester,24047
Virginia,Culpeper,51047
Texas,Kerr,48265
Texas,Rusk,48401
Iowa,Warren,19181
Illinois,Grundy,17063
Alabama,Jackson,01071
North Carolina,Hoke,37093
Oklahoma,Washington,40147
Ohio,Ashland,39005
Idaho,Madison,16065
Wisconsin,Calumet,55015
Louisiana,St. Charles,22089
Louisiana,St. Martin,22099
Wisconsin,Grant,55043
Wisconsin,Waupaca,55135
Virginia,Harrisonburg,51660
Ohio,Darke,39037
Nevada,Nye,32023
Illinois,Ogle,17141
Michigan,Cass,26027
Kentucky,Franklin,21073
Texas,Medina,48325
Mississippi,Oktibbeha,28105
Pennsylvania,Wayne,42127
North Carolina,Columbus,37047
Texas,Cherokee,48073
Virginia,Henry,51089
Indiana,Dearborn,18029
New Hampshire,Carroll,33003
Rhode Island,Bristol,44001
Maine,Somerset,23025
Texas,Polk,48373
Tennessee,Bedford,47003
Pennsylvania,Venango,42121
Tennessee,Gibson,47053
Texas,Wilson,48493
Oregon,Lincoln,41041
Maryland,Queen Anne's,24035
Texas,Lamar,48277
Michigan,Newaygo,26123
Nebraska,Buffalo,31019
Vermont,Franklin,50011
Oklahoma,Logan,40083
Minnesota,Winona,27169
Illinois,Knox,17095
Texas,Burnet,48053
New York,Montgomery,36057
Nevada,Douglas,32005
Alabama,Dale,01045
Georgia,Laurens,13175
Texas,Atascosa,48013
North Carolina,Duplin,37061
Illinois,Henry,17073
Louisiana,St. Mary,22101
Colorado,Fremont,08043
North Carolina,Edgecombe,37065
Indiana,Henry,18065
North Carolina,Halifax,37083
Oklahoma,Le Flore,40079
Louisiana,Vernon,22115
New York,Tioga,36107
New Mexico,Curry,35009
Louisiana,Lincoln,22061
Idaho,Bingham,16011
Kentucky,Boyd,21019
Oklahoma,Carter,40019
Ohio,Shelby,39149
Kentucky,Shelby,21211
New York,Greene,36039
Idaho,Bonner,16017
Arkansas,Crittenden,05035
Arizona,Santa Cruz,04023
Florida,Jackson,12063
Minnesota,Goodhue,27049
Texas,Val Verde,48465
Pennsylvania,Bedford,42009
New York,Franklin,36033
Indiana,Noble,18113
Oklahoma,Cherokee,40021
New York,Allegany,36003
Washington,Whitman,53075
New York,Chenango,36017
Illinois,Coles,17029
Texas,Chambers,48071
Wyoming,Campbell,56005
Kentucky,Nelson,21179
Washington,Stevens,53065
New York,Cortland,36023
